"","speaker","plays","count_speaker","count_plays"
"266","petronius","Den vægelsindede Komedie i 3 akter, Jacob von Tyboe eller Den stortalende soldat Komedie, Philosophus i egen indbildning Komedie i 5 akter",267,3
"267","philemon","Det lykkelige skibbrud Komedie i 5 akter",54,1
"268","philocyne","Melampe Tragikomedie",24,1
"269","pierre","Jean de France eller Hans Frandsen Komedie",76,1
"270","pigen","Barselsstuen Komedie, Den 11. juni, Den politiske kandestøber Komedie, Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Melampe Tragikomedie, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",193,7
"271","plutus","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",82,1
"272","poeten","Barselsstuen Komedie",13,1
"273","poeterne","Det arabiske pulver Komedie",11,1
"274","polidorus","Det arabiske pulver Komedie, Melampe Tragikomedie",126,2
"275","polyphemus","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",8,1
"276","postkarlen","Den pantsatte bondedreng Komedie i 3 akter",3,1
"277","proprietær","Den 11. juni",8,1
"278","præsten","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",5,1
"279","rasmus","Ulysses von Ithacia eller En tysk komedie",23,1
"280","republikken","Republikken eller Det gemene bedste Komedie i 3 akter",85,1
"281","richart børstenbinder","Den politiske kandestøber Komedie",4,1
"282","ridefogeden","Jeppe på Bjerget eller Den forvandlede bonde",12,1
"283","roland","Uden hoved og hale Komedie",86,1
"284","rosiflengius","Det lykkelige skibbrud Komedie i 5 akter",110,1
"285","rosimunda","Ulysses von Ithacia eller En tysk komedie",10,1
"286","sanderus","Den politiske kandestøber Komedie",13,1
"287","schumacher","Den danske komedies ligbegængelse Med Thaliæ afskedstale, forestillet til allersidste slutning af de danske aktører den 25. februar 1727",15,1
"288","sekretæren","Jeppe på Bjerget eller Den forvandlede bonde",9,1
"289","sganarel","Melampe Tragikomedie, Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723, Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter, Uden hoved og hale Komedie",340,4
"290","sganarel og dorothea","Melampe Tragikomedie",2,1
"291","sivert posekigger","Den politiske kandestøber Komedie",7,1
"292","skolemesteren","Det lykkelige skibbrud Komedie i 5 akter, Julestue Komedie, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",43,3
"293","skriveren","Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter, Republikken eller Det gemene bedste Komedie i 3 akter",94,4
"294","skrædderen","Den honnette ambition Komedie i 3 akter, Den stundesløse Komedie i 3 akter",4,2
"295","skyldenborg","Den 11. juni",72,1
"296","skærsliberen","Det lykkelige skibbrud Komedie i 5 akter",4,1
"297","skøgen","Det lykkelige skibbrud Komedie i 5 akter",16,1
"298","soldaten","Diderich Menschenskræk Komedie i 1 akt",17,1
"299","sparenborg","Den vægelsindede Komedie",70,1
"300","spilleren","Jean de France eller Hans Frandsen Komedie",17,1
"301","stine","Barselsstuen Komedie",9,1
"302","studenstrup","Den 11. juni",215,1
"303","svenden","Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",8,1
"304","svinene","Ulysses von Ithacia eller En tysk komedie",5,1
"305","terentia","Den forvandlede brudgom Komedie i 1 akt uden aktører, Den vægelsindede Komedie, Hekseri eller blind alarm Komedie i 5 akter",127,3
"306","thalia","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"307","theophilus","Mester Gert Westphaler eller Den meget talende barber Komedie",4,1
"308","timotheus","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",28,1
"309","tiresius","Ulysses von Ithacia eller En tysk komedie",6,1
"310","tjeneren","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,1
"311","to drenge","Hekseri eller blind alarm Komedie i 5 akter",2,1
"312","to lakajer","Den politiske kandestøber Komedie",1,1
"313","to mænd","Den 11. juni",2,1
"314","to soldater med en tambur","Barselsstuen Komedie",2,1
"315","tobias prokurator","Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",80,2
"316","torben","Den vægelsindede Komedie",73,1
"317","troels","Barselsstuen Komedie",128,1
"318","trojaneren","Ulysses von Ithacia eller En tysk komedie",25,1
"319","trækholdt","Den 11. juni",13,1
"320","tutti","Den politiske kandestøber Komedie, Den stundesløse Komedie i 3 akter, Julestue Komedie, Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",14,4
"321","tvende mænd","Mester Gert Westphaler eller Den meget talende barber Komedie",5,1
"322","tyboe","Jacob von Tyboe eller Den stortalende soldat Komedie",143,1
"323","tychonius","Jacob von Tyboe eller Den stortalende soldat Komedie",72,1
"324","tyven","Hekseri eller blind alarm Komedie i 5 akter",2,1
"325","udtolkeren","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",28,1
"326","ulysses","Ulysses von Ithacia eller En tysk komedie",134,1
"327","venus","Ulysses von Ithacia eller En tysk komedie",4,1
"328","vielgeschrey","Den stundesløse Komedie i 3 akter",315,1
"329","von qvoten","Hekseri eller blind alarm Komedie i 5 akter",8,1
"330","vulcanus","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723, Uden hoved og hale Komedie",5,2
"331","vægter","Den 11. juni",5,1
"332","vægterne","Den 11. juni, Julestue Komedie",4,2
"333","værten","Den pantsatte bondedreng Komedie i 3 akter, Den politiske kandestøber Komedie, Det arabiske pulver Komedie, Hekseri eller blind alarm Komedie i 5 akter, Jacob von Tyboe eller Den stortalende soldat Komedie, Julestue Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",336,7
"334","æsculapius","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"335","øllegård","Barselsstuen Komedie, Den vægelsindede Komedie, Ulysses von Ithacia eller En tysk komedie",31,3
